text,labels
"A father and daughter were on a bike. They were riding along for a while in a forest like area.  He hugged his daughter by a tree. Then he went over to the edge of the grass. There was (what appeared to be) a lake . He stared as if he was thinking about something. He turned around lifted his daughter up in the air and gave her a tight hug. Then he put her down and got into a canoe which was next to him in the lake. He sailed it in front of him. His Daughter started to run back and forth. Then she got on the bike and started cycling, She cycled up hill slowly, possibly showing the difficulty and time passing without him there.  The colour of the scene changed to a dull brown and  the lake wasn't the same either.","[0, 0, 0, 0, 1, 0]"
"A man and his daughter are out for a cycle. The whole scene seems innocent but the dark, shadowy landscape depicted is somewhat unsettling. The man and his daughter arrive at their destination, and it soon becomes clear the man intends to set off to sea in a small boat and leave his daughter behind. After a brief, almost robotic hug, he sets off to sea by himself. The daughter watches him leave. She seems so insignificantly small compared to the tall, dark trees and the vast ocean. The father never returns and we see the daughter slowly make her way home alone ¡_¡ she comes back again the next day and there is still no sign of her father except for the bike he also left behind","[0, 0, 0, 0, 0, 1]"
"Girl and her father are cycling. They get to a tree. The father says goodbye. Walks down a hill to a boat. Runs back up the hill to say goodbye again. He swings the girl in the air. He walks back down the hill, gets in the boat and toes away. The girl cycle away. The girl then cycles back to see if the fathers come back. She sees that he hasn't and she leaves again","[0, 0, 1, 0, 0, 1]"
"The father and daughter have a very good relationship, they are happy cycling together. The daughter is blissfully unaware of what is going to happen when they reach the boat. The father is cycling slightly slower than her as he knows he is going to leave her when they reach the boat so he is savoring his time with her. The father stops suddenly when they reach the boat, the daughter is unaware of its significance. She asks him something, presumably why they have stopped, the father then heads towards the boat, the daughter follows, not wanting to leave her father. The father brings his daughter back to the top of the hill. He then hugs her and returns to the boat, this time getting into it and rowing away from his daughter. The daughter is left alone at the top of the hill watching her father sail away from her, she is upset and confused. She then cycles back as it is clear her father wasn't coming back. Later that night she cycles back to see if her father has returned, much to her despair he hasn't. The young girl is left heartbroken, lonely and confused. ","[10, 2, 1, 3, 1, 0]"
"A father and his daughter go cycling one day. They appear to travel some distance, going up a steep hill at one point. They stop at a series of trees and leave their bikes leaning against them. The father goes down the hill towards the ocean, and sees a rowing boat moored at the shore. He goes back up the hill, picks up his daughter and hugs her. He then returns to the boat, casts off, and rows into the ocean. His daughter watches him leave for some time, before getting on her bike and cycling back in the direction they came. Later on in the day, shown by the change in sky colour, the man's daughter returns, struggling to cycle up the hill. She watches the ocean for some time yet again, appearing to be waiting for her father to return, but he does not. She leaves once more.","[0, 1, 0, 0, 0, 0]"
"Clouds are seen in the beginning. Scene opens with father and daughter cycling together. Daughter seems to follow lead of experienced father. they cycle uphill. they reach two trees, father and daughter disembark from bicycles, They embrace. Father walks downhill, gets in a boat and rows away, Film shows daughter repeatedly cycling to same spot. Daughter looks out at sea hoping to see her father but does sadly not. film ends / ","[1, 0, 0, 0, 0, 0]"
"A young girl and her father cycle together along a road past a tree. They then go up a hill and at the top they park their bikes up against a tree. The father hugs his daughter. He then goes down the other side of the hill towards a boat on water. He runs back up the hill to hug his daughter and spin her around. He then goes back down the hill and gets in the boat, then rows off seemingly into the sea. The daughter waits a while before cycling home alone. She returns at sunset to the hill but there's no sign of her father on the water and his bike remains at the tree. She then cycles home again and the movie ends.","[0, 0, 0, 0, 0, 1]"
"A father and his daughter cycle together up a hill. He parks his bike at a tree, followed quickly by her, then hugs her goodbye. He walks down the hillside to the water to look at the boat moated there, then goes quickly back up to hug her again. Finally he gets in the boat and rows off. She watches him leave then cycles away. Over the next while she cycles up the hill to watch the ocean to see if he comes back. He hasn't yet.","[0, 0, 1, 0, 0, 2]"
"At the beginning of the clip, there is simply a fairly close look at some clouds. The clouds then pan out into a  scene where two figures appear to be walking with their backs to a picturesque scene of a somewhat cloudy sky. The areas on either side of the road were barren and empty. We see then that the two figures are actually a man and a little girl riding bicycles together down the road. The father and daughter cycle up a hill where the lean their bikes against a couple of trees and look out across a lake. The father and daughter say goodbye and the father makes his way down the other side of the hill to the lake which has a row-boat floating while tied to a couple of stakes to prevent it from floating away. The man gets to the boat before turning around, rushing back to the girl and giving her a fierce hug. He then leaves her again, gets in the boat and rows away while the daughter looks on. The daughter then gets on her bike and cycles away. The next scene contains the daughter cycling back up the hill to the tree against which her dad's bike is still leaning. She looks out over the lake as if expecting her father to return. He does not. She cycles off again.","[0, 1, 0, 1, 0, 0]"
"A father and daughter whom have a strong bond went on a cycle together. Once they got to the tree and parked their bikes the father went down to the boat. He paused for a second which I assume was to rethink what he was about to do. He then ran up the hill to his daughter and hugged her, as if it was going to be their last time together. Then he quickly ran to the boat and rowed away. The daughter I feel was in disbelief and couldn't believe what had happened. I assume every day she cycled to that spot to check if her dad had returned. I'm guessing she either doesn't give up or perhaps does and either continued to check or not.  / ","[1, 1, 2, 1, 1, 1]"
A father and his daughter are cycling together one evening. his daughter is very young and doesn't seem to know where they are going or what is going to happen.  Every thing is calm and quiet. when they reach the location which the father was going to they get off the bikes. the girl is still unaware of what her father is about to do or why. He hugs her and seems sad as he walks to the boat. it seems as he knows he might not return from wherever he is about to go. he hesitates as he is near the boat and hugs his daughter once more. the girl remains calm and waits until her father rows the boat away and then cycles back. some time later the girl comes back to the place and seems to be waiting for her fathers return however nothing happens. and the story ends here?,"[1, 3, 0, 1, 1, 0]"
 The story entails a girl being left in despair by those she loves. they seem to be moving away from her and she is left behind. The hill may represent the journey she has to undertake and could be representative of the problems and loss she may have to overcome. It is a solemn story of a girl who is experiencing a rough time in her life.,"[3, 0, 0, 0, 0, 0]"
"The film depicts a man and a child. As the video is titled father and daughter, I assume this is the relationship between the characters. The story revolves around a journey to a body of water. They both ride their bikes through a beautiful landscape with lovely trees. The child has some difficulty riding her bike up a steep hill. The father helps her. They reach the top, and the father goes to the shore where a boat is moored. He is about to leave in the boat but runs back to hug the girl. The man then gets into the boat and rows into the distance. The child is very anxious or upset about her father leaving. She returns to her bike and leaves alone. The girl returns again; she seems older and now can get up the hill unaided. She looks out at the water maybe still waiting for her father's return or still upset at his absence.","[3, 1, 0, 0, 0, 1]"
"A father and his daughter go out riding their bikes in the countryside. They come across a boat, the father joyfully hugs his daughter goodbye, he hops on the boat and rows away until he disappears. His daughter cycles up and down in panic, and continues to wait for him as the sun sets.","[1, 1, 0, 1, 0, 0]"
"A man leaves his daughter, and the daughter comes back every day to wait for him.","[0, 1, 1, 0, 0, 0]"
"The scene is short, but telling. It's an excellently crafted scene that shows a father and his daughter cycle around for the day in each others company, then the father, somewhat reluctantly as it seems, leaves the litttle girl, gets into a boat and sails away. From the very beginning the atmosphere in the scene is bleak and poignant, the use of silouettes and the lack of human detail in the faces of the characters but distant shots, the colour pallete fits this mold too. The overall tone is poignant and ominous.","[0, 0, 0, 1, 0, 0]"
"In this scene, a father is out cycling with his young daughter. It opens seemingly optimistic and it appears that the pair are spending quality time together. However, the tone drastically changes as we learn that the father had other intentions for this trip. The father and daughter park their bikes by a tree and share a loving embrace. At first, we think that the father is simply showing affection for his child, but quickly understand that this is not the case. He appears to be saying goodbye to her as he gets into a boat and sails off into sea, leaving the young girl alone. The daughter is left puzzled as she doesn't understand her father's reasons for leaving, or more importantly when he'll return. Once the daughter realizes that her father isn't coming back, she leaves the scene on her bike. However, it is clear that she frequently visits the place that her father abandoned her, waiting for his return. The scene ends on a pessimistic note as we are left to assume that the father never returns. ","[2, 3, 0, 2, 0, 1]"
"A father and daughter cycle along a familiar path, when the father decides to stop - so the daughter stops too. The daughter is excited and joyful, while the father is sad and melancholic. He hugs the daughter goodbye before walking down a hill to a boat and leaving, seemingly unexpected and unexplained to the daughter. The daughter leaves sad and abandoned, presumably for home. We see her return excitedly again to see if the father has returned, but being disappointed to see no sign of him.  ","[6, 0, 1, 2, 0, 1]"
"this was a sepia toned movie in appearnce. It used french style music to imply a streak of melancoly and possibly countryside that is undisturbed. A man and his child (says daughter in title) cycle up a hill on a lonely road where trees are sparsely spaced out. They cycle to trees and park their bikes on the trees. on the other side of the hill there is a pond depicted with a small rowing boat attached by a rope to the land. it is at the bottom of the hill where the trees are. The child  stays at he top of the hill looking on as the man descends the hill. The Man walks to the edge of the water and looks at the boat (in contemplation) and the turns and looks up at the child again. He looks back at the water and then returns up the hill to where the child is. He lifts up the child in what appears to be a goodbye embrace. He puts the child down and she remains still. He descends the hil and get into the boat. he rows off into the sunset and leaves the child alone. The child waits a while, leaves the place on her bike and goes back down the hill. Some time after she reurns on her own back up the hill on her bike. she gets off her bike and rests her bike on a tree again. she looks from the top of the hill to view the scene of the pond which has no boats or anything on it. The scene is lonely, just two trees, shadowy light and the empty pond. She waits a short while alone. then she gets on the bike and cycles down the hil once more. The end","[0, 0, 0, 0, 1, 0]"
"A father and daughter are cycling along together across a barren landscape that includes hills. They come to a tree, where the father parks his bike against a tree and the daughter soon imitates him. The father momentarily disappears from view and we are shown that he has walked down a hill to the edge of a body of water that looks like a lake. He looks back up the hill as if to beckon his daughter, then returns to her at the top of the hill, lifts her off the ground into his arms and embraces her. He then returns to the waters edge and gets into a paddle boat. The father steers the boat away into the distance and the daughter looks after him, visibly upset by his departure. She takes her bike and cycles back the way they came; and returns to the water again as if to check if her father has returned. Again, she looks very lost and saddened by his departure. ","[3, 1, 1, 0, 0, 1]"
"The father and daughter cycled along together until they reached the sea, the father hugged his child and rowed away. She watched him leave and then cycled home. Returning the next few days to wait for him to come back. / ","[0, 1, 1, 0, 0, 0]"
"The film opens with a father and his daughter on a bike ride together. They at going at the same pace, the father is clearly waiting for his daughter. The music is cheerful and up beat. At one point the pair encounter a hill and when the daughter has difficulties reaching the top, her father gives her a helping hand. Is this a metaphor for tough times? They continue until they reach some trees, casting a shadow on the sunny day. Once a fun the shadows could be symbolic of difficult experiences. The father goes to the shore to a boat, returns to his daughter, expressive his love for her in a hug and then reluctantly leaves her. Though the daughter seemingly doesn't understand why he is leaving her, she eventually accepts it and leaves. At a later date she returns to the same spot perhaps looking for her father. More notably, this time when encountering the hill she manages it in her own. Overall, this film scene perhaps details the journey through childhood as it begins with a supportive and present parental figure, there to aid and teach his daughter, and then, due to his absence perhaps cause by death, separation or just the daughter's growing independence as she grows up, the viewer sees her applying what her father has taught her and managing on her own. ","[0, 2, 0, 2, 1, 0]"
"A father and daughter cycle through the countryside. They pass through fields, pass by trees. They cycle up and down hills. They finally reach their destination. They both park their bikes by the trees. The father walks down the hill to a boat which is docked at the bottom. His daughter watches him. He runs back up the hill, says goodbye to his daughter and hugs her. He sets off in his boat. The daughter cycles back home. She returns some time later and appears to be older. She sees her father hasn't returned, she is set and cycles away again.","[0, 0, 0, 0, 0, 0]"
"It appears that a father and daughter are spending some quality time together by cycling through the woods. After having cycled quite a distance with some obstacles they stop at a river/bay. The father then proceeds to simply leave the daughter and row away. He leaves giving her a hug but that is the extent of it. She cycles away, presumably home. Late at night, a short time later she cycles back in an attempt to see if he has returned. He has not. In both cases she seems upset but not devastated. She then cycles away once again. This movie then fades to black.","[2, 0, 1, 0, 0, 0]"
"There is a little girl and her father. They cycle together to up a hill where there is a view of a sea / lake / etc. The little girl looks up to her father - both literally and metaphorically. There seems to be a strong connection between the two. The little girl loves her father, and he her, although may be not to the same extent. /  / On arriving on the hill, they dismount from their bicycles and look out over the water. The little girl is always watching her father's movements and actions, and tries to imitate him, like she is always striving for his approval. /  / The father begins to walk down the hill, then suddenly turns and runs back to hug his little girl lovingly. It is quite a warming scene, as it shows that although he isn't always very good at expressing it, he love his daughter very much. The hug is like a quick squeeze. It is as if he can't bare to hold on too long, perhaps because he is afraid he will not be able to leave his little girl if he contemplates too long.  /  / The man continues down the hill and gets into a little row boat and rows off across the water, into the distance. The little girl watches her father from the hill; her face full of sadness. Running one way and then the other. Eventually, she can no longer see him. She is obviously upset and distressed. I think she may not no where he is gone or when he will be back and this worries her. /  / She cycles home. The film shows the little girl cycling back to the hill, perhaps the next day. She has come back to see if her father has returned. He has not. She waits for what I assumed was some time, before heading off again. I got the impression that this would be a recurring cycle - that the little girl would come and await for father's return, yet he never comes.","[7, 3, 2, 5, 2, 0]"
"A father and daughter embark on a journey. They arrive on a hilltop and place their bikes carefully against a tree, the daughter displays affection and happiness in her actions. The father kisses her and heads down the hill to a boat. The father has to go, hopefully temporarily. He returns to say a bigger farewell, indicating that he may not, or that it might take some time. The daughter returns later, indicating an expected return. She drops her bike displaying her anxiousness. Darkness is looming.","[3, 0, 0, 0, 0, 2]"
"The father and daughter appear in the distance. The Father and daughter cycle side by side for a considerable length of time. They reach a tree, the father stop at a tree and the daughter goes on but then turns back as she realises he stop.  The father leaves the daughter at the tree and goes to the riverbank where there is a boat. The father runs up the bank and grabs his daughter in an embrace then descends again. He gets in the boat and starts rowing away into the distance. The daughter is meanwhile pacing the bank. She waits for a while until she cannot see her father, looking anxious she departs home. Again the girl is seen cycling back to the tree and looking out into the distance.","[1, 1, 0, 0, 0, 0]"
"The film looks to be old fashioned. The art is quite basic and the animation sometimes jittery. The story goes as followed. A father and daughter are cycling together. They cycle over various terrains such as past trees and upon hills. After reaching the trees at the top of a hill the father props his bike against the tree. It is clear the daughter did not know he was to do this since she had cycled slightly ahead. She then returns and copies her father. He bends down and gives his daughter a hug before walking to the boat on water, on the other side of the hill. He rushes back and gives his daughter one last hug before leaving. She waits, confused, at the brow of the hill, however her father does not return. Even after going home and going back, the fathers bicycle is still lying on the tree so he has not returned. The film suggests he will not return.  ","[1, 2, 0, 0, 0, 0]"
"A father and his daughter are spending time together. They are very attached to one another, stopping often to touch one another. They cycle side by side or the father allows his daughter to cycle marginally ahead of him. The music is emotive though the faces are void of emotion. The background is starkly red. The father stops his bike and his daughter follows suit. The father leaves his daughter on the top of a hill briefly. He examines a boat on a lake. He quickly returns to give his daughter a hug but sails away after. The daughter stares at him as he leaves and her actions are agitated. She returns after time to the place where he left her to find the waters empty.","[1, 0, 0, 0, 0, 1]"
"A man and young girl (presumably father and daughter) are shown going about their business. They cycle to a beach/dock and find a boat. The rest their bicycles against some nearby trees. The man gets on to the boat and rows away into the distance. The little girl is left alone, and so cycles away on her bike. She then turns around and returns to the beach where the man left, presumably anticipating his potential return. His bike is still resting at the tree, though he is nowhere to be found. Not seeing the man, the girl leaves again, apparently disappointed about his absence.","[1, 1, 0, 0, 0, 0]"
"Both father and child embark on an adventure symbolic of life; the father teaches the daughter new life skills and lessons. As the close-up is observed of the wheels of both bicycles, the point in the child's development is seen where she is able to surpass her father in what he taught her (her front wheel accelerates slightly). There is an indication however that she eases her speed to keep at pace with her father, perhaps whom is slowly showing signs of aging and degradation. As they reach the body of water, it is perhaps time for the father to pass away, sailing away from his child into an abyss. His bicycle is left with the daughter, perhaps leaving her with the sense that he is not gone forever, that he will come back, illustrating an innocent child's inability to comprehend death. However, after returning once more, possibly at on older age able to reflect on these occurrences, she sees that the bicycle has not moved and that her father has left for good. The ending of the short film suggests closure and acceptance for the daughter, perhaps as she leaves her child bicycle behind and takes her father's, maybe one day teaching her own children the same life lessons her father taught her, continuing on the cycle of life and death.","[0, 3, 1, 0, 0, 0]"
"The father and daughter are cycling and the scene seems quite idyllic.  They seem to share a very affectionate bond.  The child seems adventurous and happy to be with her father.  Then they come to a tree by a river and the father gets off of his bike.  The daughter does the same, seeming playful at first.  The father goes to a boat, then returns to the child and hugs her affectionately.  The animation changes from idyllic to melancholic as you suspect what's going to happen next.  The father returns to the boat, gets into it, then rows away, leaving the little girl watching him disappear into the distance leaving her all alone on the shore.  She waits for his return, which never happens, even after she returns, we are left to presume, day after day.","[3, 1, 0, 2, 0, 0]"
The film features a man and his daughter and opens with them cycling. The cycle to the top of a hill. The man then hugs his daughter and gets on a boat and his daughter cycles home alone. She goes back to see if he's returned but he hasn't. ,"[0, 0, 1, 0, 0, 0]"
"The film opens with steady accordion music played over text and some clouds. A man and a little girl (assumed to be the ""Father and Daughter of the title) cycle bikes along a deserted road. Some trees and hills are seen, but the area is quite bleak, and the picture is grainy. The man stops his bike and dismounts, leaving it beside a pair of trees a little past the top of an incline, and the girl, noticing, turns back to join him. The girl also leaves her bike against the trees. The man and the girl touch foreheads/faces, which seems affectionate. The man then walks down a hill to the sea shore, where a small boat is tied. After observing the boat, the man walks back up the hill and picks the girl up in his arms, spinning her around, almost dancing with her. He embraces the girl in his arms, and puts her back down, leaving his hands to rest on her shoulders momentarily. He then turns and walks back down the hill, the music changing as he does so to a slower, more melancholic tune. The girl follows him to the edge of the hill. The man can then be seen rowing away out to sea, leaving the girl standing atop the hill. She runs along the edge of the hill, seemingly to try and find a better view of the man rowing away. The girl mounts her bike once more, and cycles back in the direction from which she came, this time alone. The slow music continues, and the sun sets.  The music quickens in tempo, but the mood doesn't seem to change, as the girl cycles back to the hilltop once more, much darker now. She looks out towards the sea again. Then she cycles away once more.","[1, 1, 1, 1, 0, 0]"
"A father and a daughter are cycling a tandem bike along a path lined with trees. They cycle up to near the top of a hill. The father hugs his daughter. He descends the hill. The daughter starts to follow him and goes to the very top of the hill to watch him. The father gets into a boat and paddles away towards the horizon. The daughter looks very sad. Later, perhaps the next day, the daughter cycles the tandem bike back to the same spot at the top of the hill. She looks out but her father is nowhere to be seen in the water. She looks upset, and cycles away again.","[2, 0, 1, 0, 0, 0]"
"A man and his young daughter are out cycling on their bikes. They cycle up a hill and park up their bikes and the girl's father gives her a kiss. He walks downhill to where a boat awaits. He turns back and picks up his daughter, hugs her and gives her a kiss and gets into the boat. He rows off out to sea while his daughter runs back and forth probably crying out to him. In the end we see how the daughter keeps coming back on her bike to the same place where her father left her.","[0, 0, 0, 0, 0, 0]"
"A father and his daughter go for a cycle during the day. The film feels optimistic. The father leads the daughter to the ocean where he abandons here. The daughter looks out at the sea unhappily. Eventually she decides to leave. The daughter tries to go home but isn't strong enough to get up the hill so she turns back. By the time she gets back to the sea, dusk is falling. The daughter looks out melancholically, waiting for her father to come back. The film ends without a strong resolution, but generally pessimistically. ","[2, 2, 1, 0, 0, 0]"
The film scene was about a father and a daughter going on a walk or cycle. They climb up a hill and then go to a lake. The father goes to the lake to the boat before returning to pick up his daughter what I assume was for the last time. The father gets in the row boat and rows into the horizon with the daughter on the shore anxious that he is leaving. I could tell this by the way she paced back and forth as the father rowed away. She then leaves and comes back but the father has not yet returned. She seems upset by this. This is the end of the clip.,"[2, 0, 0, 0, 0, 0]"
"A man and a young girl, possibly father and daughter, as the title would suggest, begin the story on a cycling trip. They cycle along a path until they reach a large lake, it may even be the sea, but the small boat suggests otherwise. Upon reaching this destination, they rest their bikes on a tree, and hug. The man continues to get into a small boat and row out into the water, leaving the young girl behind. He runs back to share one last hug before departing. After he rows out of the girl's vision she waits for his return. After a while she takes her bike and cycles back along the path they originally travelled on. It is unclear whether she cycles along this route and ends up back at the tree a few moments later, or if she returns on a later date. However, when she returns to the tree, the man's bike is still resting on it, and she looks out to the horizon in anticipation. The story seems to end there.","[0, 3, 0, 0, 0, 1]"
"This film is a short animation about a girl and her father, they cycle together to the edge of the land, she stays beside a big tree and he walks down the hill to the sea and walks towards a boat. The daughter runs down the hill after him and they hug each other and she goes back up the hill. He then rows away as she stands there waiting for him to return. She waits all day and he still hasn't returned, she then cycles home, she returns when night falls and her fathers bike is still by the tree. The story is showing the relationship between the father and daughter, It seems like they have a very close relationship (Maybe he's a single father), he could also be going to work somewhere far away. ","[1, 1, 0, 1, 0, 0]"
"A father and daughter are cycling down a road together. They arrive at some trees by the water and get off their bicycles. The father hugs the daughter. The father walks down to a rowboat on the water, but turns around and goes back to pick up and hug the daughter before actually leaving. The daughter worriedly  watches the father move towards the horizon, moving back and forth on the bank to get a better look. Once she can no longer see him she gets on her bicycle and heads back the way they came. Then at night she returns and his bicycle is still there and she looks worriedly out to sea. Then she gets on her bicycle, but keeps heading in the same direction along the coast away from the way she came.","[2, 0, 1, 0, 0, 1]"
"A father & his daughter went cycling together. The father had to go away for some reason (maybe for work or family matters, I don't know). The daughter probably wanted to stay with her father for as long as possible so the father allowed her to cycle with him to the boat and say goodbye there. When they arrived at the boat, the daughter found it difficult to leave her father & followed him as he tried to go on the boat. The father hugged his daughter & carried her back up the hill to her bike & hugged her goodbye. He went back down the hill & climbed onto the boat. He went away at see on the little boat, while his daughter watched him leave. Upset, the young daughter cycled home alone. After some time had passed the daughter cycled to the same place again, hoping to see her father but he was not there. I'm not sure if he told her to meet him there on his return, but it was very sad that he was not there. Maybe he was just delayed, or something bad happened to him. ","[3, 0, 0, 0, 0, 2]"
The landscape is bleak and slightly depressing. A man and his daughter are preparing for a day out. They are cycling throughout the day. As the day comes to an end they dismount at a cliff beside the sea. The daughter checks to see if a boat is there. After she confirms it is she hugs her father and he climbs down the cliff and into the boat. After which he rows away. The young girl returns to the beech the next day and the day after to see if her father has returned. He does not and the young girl cycles away. /  / ,"[0, 0, 2, 0, 0, 0]"
"The film starts with a father and a daughter who ride together on a road. The daughter is initially in the shadow of the father. As they progress the daughter goes ahead of her father, to the top of the hill, where she waits for him to catch-up. They continue along the road until the father stops the daughter circles back to the father and parks her bike infront of the same tree, where her father had left his. He kneels down to the daughter, before walking down the banks to where a row boat is ankered. After waiting for a few seconds he returns to the daughter, picking her up and embrassing her. He returns to the boat and rows away. His daughter looks on, moving to-and-frow, as the boat fades into the distance. She eventually picks up her bike and cycles back the route she came. She returns from the same route as before appearing to be some what bigger. Again she waits at the same place where her fathers bike remains and where he had left on the boat. After a while she leaves. Again returning from the same direction from which she came. ","[1, 1, 0, 0, 0, 0]"
"Father and Daughter went for a cycle on their bikes, Father reached a point and stopped cycling, Daughter cycled on a bit not realising her Father had stopped cycling the Daughter jumped off her bike to follow her Father down to the water or sea then  her Father leaving his Daughter behind to look at the water and the boat waiting with nobody in the boat the water is choppy the Daddy then went back to to his Daughter waiting at the ledge looking at her father, the father then lifted his daughter up and hugged her and then put her back down he ran down the ledge and got into the boat and rowed off in to the sea, the Daughter just stood there on the ledge with a very sad expression on her face watching her father row of into the sea. The daughter then got on her bike cycled off up a big hill.  She then returned back to the scene later that evening to see if her father waiting for her seems to be a sad film clip.","[1, 1, 2, 0, 0, 1]"
"A girl and an older man cycled to a river side. It seems as though he is a relation of hers, perhaps her father. Once at the river they embrace and the man leaves on a boat. The child then leaves the scene. The girl returns to this scene where the mans bike has still been left. It seems as though she is waiting for the man to return to this place. From the background it seems to be in quite a quiet area as there were no other carachters in the scene. The girl seems to be alone without this older man.","[0, 1, 0, 0, 0, 0]"
"A girl and her father are out for a cycle ride. The father stops by a tree, the girl goes on a little and when realises he has stops comes back to him and gets off her bike as well. They seem close and embrace. The father walks down a slope to a boat. He then goes back to his daughter and gives her a much larger embrace, then goes back down to the boat and rows away, looking back at his daughter as he does so. She stands on the bank and watches her father leave. After a while she gets back on her bike and presumably goes home. She rides back to the tree the following day and appears to wait all day for her fathers return, but he does not. I think she does this again the next day. It is clear that the large embrace he gave her was to say goodbye.","[0, 2, 0, 0, 0, 1]"
"A father and daughter ride their bikes. The journey was not short, but I'd hesitate to say it was a long journey. They went up a big hill and then to the edge of a body of water. There the father and daughter say goodbye. The father starts to leave but turns around to give his daughter one more hug. Then he gets into a boat and rows away. The daughter watches closely until she can no longer see the boat and then waits a while longer, watching. She rides her bike home as the day is ending. Early the next morning, she rides back to the same place to look for the boat again. She doesn't see it and she leaves. ","[0, 0, 1, 0, 0, 1]"
"A father and daughter cycle to the ocean (or lake). The father and daughter's bikes are similar but different sizes. The girl cycles slightly further than the father and then turns back when she sees he has stopped by a tree. The father and daughter hug. The father goes down the bank and checks a boat near the water. The daughter waits at the top of the bank and seems unsure what the father is doing. The father returns to the daughter and hugs her again. The father returns to the boat and then rows away. The girl stands looking at her father rowing away and then moves about while looking at home rowing farther and farther away. The girls then rides her cycle away. The girl the rides back towards the water, up a steep hill slowly reaching the top. She then gets off her bike and looks out to the horizon over the water. Her father is not returning. The film ends.","[0, 1, 0, 0, 0, 0]"
"A man and a girl are biking together in Holland. Calm, classical and non-diegetic music is playing. They are both wearing big coats. The man is in a suit beneath his coat. They come to the top of a small hill, the girl struggles a bit to make it up. He leans his bike against the tree, she uses her kickstand. He walks down the slope to a boat. Then he turns around, goes back and gives her a big hug. Picking her up and squeezing her. Then he sets her back down and gets in the boat. He rows away, it looks like a sea, there is no land on the horizon. The girl watches, fidgets, and waits. Eventually he is gone and she gets back on her bike and leaves. She comes back at another time, struggling still with the hill. The sky is a different color, it's like sunset. She watches and waits for him to return. ","[0, 1, 0, 0, 0, 0]"
"A girl and her father are cycling to the place where the father's boat is kept. When they arrive, both the father and the daughter get off their bikes. The father hugs the daughter to say goodbye, before leaving on the boat. The girl cycles home. She returns at sunset (possibly on that same day) to look out at the sea and think to herself. My interpretation is that she is either waiting for her father to return or she is thinking about him and misses him. I think the father's bike was still there, which would suggest that she is waiting for him to come home, or that he should be coming home at some stage.","[1, 4, 1, 0, 0, 0]"
"We are cycling down in the countryside my father and I, and I am having a tough time cycling over all these hills. It is fun however to be out in the open air and I am enjoying myself despite the fact I don't know where we are going. Eventually we stop beside the sea and a sense of dread fills me for some reason. My father hugs me and sails off on a boat and I am quite confused and worried as to the purpose of this, he disappears from view. I come to realise he isn't returning and decide to come back tomorrow. He still hasn't returned the next day, I  am puzzled and sad.","[7, 3, 0, 0, 0, 0]"
"I imagine she'd be happy to be spending time with her father but confused when he left. Her movements on the bank as he rowed away indicated indecision as to what she should do next. It's possible he never revealed a reason for leaving or his destination which would raise further questions in her mind. She might have blamed herself for his departure, thinking he didn't want to spend time with her etc. When she returned to the spot a different day she may have been hopeful of finding or seeing her father. She could have felt despair when leaving the second time, unsure as to whether she'd ever see her father again. ","[5, 4, 0, 1, 1, 0]"
"I would imagine she experiences glee at first, satisfied with the excitement and sense of adventure of cycling around along the path with her father. She is evidently trying to keep up with him which may be stressful. This then turns to love, as she is pulled into a loving hug, which then turns to, I would imagine, confusion, as she sees her father approach the boat. By the time of the second hug I am sure she is somewhat anxious and baffled as to what is going on. The confusion may grow, and worry may kick in as he sets the boat away from the bank. Possible sadness or even slight anger at this point as he leave her alone without explanation, (to the best of our knowledge). She may have cycled away in annoyance, only to return due to love, sorrow and loneliness. Leaving again in despair and worry, feeling neglected perhaps, alone without explanation.","[20, 0, 1, 1, 0, 0]"
"The girl seems to be happy to cycle along with her father. She clearly feels affection towards him when they hug goodbye. She doesn't want him to go, but she seems to expect him to return soon. Later, she is hopeful as she waits for her father to return, but she grows less hopeful when his absence continues. She is sad at the end of the story when her father fails to return. ","[6, 2, 0, 0, 0, 0]"
"She is very happy at first because she is going on a cycle with her father, but clearly becomes distressed and upset when he leaves in the boat.","[3, 0, 0, 0, 0, 0]"
"I'd say she is very happy and quite content enjoying a cycle with her father. She enjoys his company. She may then feel confused when he goes down to the boat, but then he hugs her again and she probably feels reassured, temporarily. When the father sails off she must feel confused, sad, lonely and upset. ","[10, 0, 0, 0, 0, 0]"
At the start of the story the female character is comfortable and happy with her father. She is very relaxed as he cycles her around and she probably thinks that cycling is fun. When her father leaves she feels sad and is wondering where he is gone and why. She misses him and cycles away feeling sad and lonely. The next time she cycles alone and is determined to reach the top of the hill independently due to her hopeful feeling that her father will return. The sadness returns though when she realises that her father is not there and possibly is not returning. ,"[9, 3, 1, 0, 0, 0]"
"I think she felt hurt , lonely , sad , abandoned, worried and scared. According to the look of the girl I would say she is quite young so maybe she is confused and not quite sure what is happening . I say she intends to come back to the same place daily to wait for him to come back if he does so because she misses him and loves him dearly.","[9, 2, 1, 0, 0, 0]"
"At the start the girl is happily cycling along with her father. She seems happy to be spending time with her father. The mood changes when they reach the sea. She looks confused and sad as her father gets into the boat and leaves her. He runs back up and hugs her but then leaves again. She runs around as she watches her father sail away from her, she looks distressed. She moves on with her life but seems sad that she now lives without her father by her side. ","[6, 0, 0, 0, 0, 0]"
